GeneName	Expression	Sample	Conditions
GeneA	5	Control1	Control
GeneA	6	Control2	Control
GeneB	7	Control1	Control
GeneB	5	Control2	Control
GeneC	6	Control1	Control
GeneC	7	Control2	Control
GeneD	6	Control1	Control
GeneD	6	Control2	Control
GeneA	12	TypeA1	Disease_typeA
GeneA	13	TypeA2	Disease_typeA
GeneB	14	TypeA1	Disease_typeA
GeneB	15	TypeA2	Disease_typeA
GeneC	12	TypeA1	Disease_typeA
GeneC	12	TypeA2	Disease_typeA
GeneD	14	TypeA1	Disease_typeA
GeneD	17	TypeA2	Disease_typeA
GeneA	7	TypeB1	Disease_typeB
GeneA	8	TypeB2	Disease_typeB
GeneB	9	TypeB1	Disease_typeB
GeneB	8	TypeB2	Disease_typeB
GeneC	8	TypeB1	Disease_typeB
GeneC	9	TypeB2	Disease_typeB
GeneD	7	TypeB1	Disease_typeB
GeneD	8	TypeB2	Disease_typeB
